#Order, #Num, #Angle, #Angle_answer, #distance
169, 40, 315, 273.3665, 2.381732
170, 16, 315, 73.47422, 2.655133
171, 46, 225, 180.6299, 2.545608
172, 106, 45, 179.3839, 2.601549
173, 29, 180, 359.5106, 3.272846
174, 126, 225, 32.19575, 2.677436
175, 61, 180, 359.0904, 5.287379
176, 74, 45, 132.5284, 5.50374
177, 128, 315, 2.090127, 3.834718
178, 94, 225, 178.3252, 4.785261
179, 28, 135, 178.5056, 3.217878
180, 98, 45, 108.7052, 3.750546
181, 18, 45, 359.3657, 7.580884
182, 42, 45, 228.4166, 2.655134
183, 125, 180, 225.9548, 2.373835
184, 72, 315, 180.7072, 2.265907
185, 32, 315, 340.2276, 4.547842
186, 3, 90, 161.9061, 2.972152
187, 127, 270, -1, -1
188, 91, 90, -1, -1
189, 9, 0, -1, -1
190, 31, 270, -1, -1
191, 112, 315, -1, -1
192, 83, 90, -1, -1
193, 64, 315, -1, -1
194, 66, 45, -1, -1
195, 48, 315, -1, -1
196, 70, 225, -1, -1
197, 19, 90, -1, -1
198, 62, 225, -1, -1
199, 10, 45, -1, -1
200, 68, 135, -1, -1
201, 36, 135, -1, -1
202, 67, 90, -1, -1
203, 2, 45, -1, -1
204, 79, 270, -1, -1
205, 47, 270, -1, -1
206, 11, 90, -1, -1
207, 116, 135, -1, -1
208, 33, 0, -1, -1
209, 26, 45, -1, -1
210, 109, 180, -1, -1
211, 39, 270, -1, -1
212, 43, 90, -1, -1
213, 87, 270, -1, -1
214, 77, 180, -1, -1
215, 107, 90, -1, -1
216, 21, 180, -1, -1
217, 41, 0, -1, -1
218, 60, 135, -1, -1
219, 45, 180, -1, -1
220, 124, 135, -1, -1
221, 101, 180, -1, -1
222, 80, 315, -1, -1
223, 118, 225, -1, -1
224, 104, 315, -1, -1
225, 57, 0, -1, -1
226, 71, 270, -1, -1
227, 22, 225, -1, -1
228, 50, 45, -1, -1
229, 34, 45, -1, -1
230, 110, 225, -1, -1
231, 86, 225, -1, -1
232, 123, 90, -1, -1
233, 15, 270, -1, -1
234, 12, 135, -1, -1
235, 93, 180, -1, -1
236, 38, 225, -1, -1
237, 63, 270, -1, -1
238, 95, 270, -1, -1
239, 84, 135, -1, -1
240, 69, 180, -1, -1
241, 17, 0, -1, -1
242, 108, 135, -1, -1
243, 76, 135, -1, -1
244, 120, 315, -1, -1
245, 122, 45, -1, -1
246, 78, 225, -1, -1
247, 88, 315, -1, -1
248, 100, 135, -1, -1
249, 23, 270, -1, -1
250, 117, 180, -1, -1
251, 6, 225, -1, -1
252, 58, 45, -1, -1
253, 51, 90, -1, -1
254, 92, 135, -1, -1
255, 54, 225, -1, -1
256, 8, 315, -1, -1
257, 1, 0, -1, -1
258, 73, 0, -1, -1
259, 35, 90, -1, -1
260, 13, 180, -1, -1
261, 52, 135, -1, -1
262, 115, 90, -1, -1
263, 114, 45, -1, -1
264, 49, 0, -1, -1
265, 59, 90, -1, -1
266, 89, 0, -1, -1
267, 30, 225, -1, -1
268, 14, 225, -1, -1
269, 81, 0, -1, -1
270, 25, 0, -1, -1
271, 90, 45, -1, -1
272, 121, 0, -1, -1
273, 53, 180, -1, -1
274, 24, 315, -1, -1
275, 99, 90, -1, -1
276, 119, 270, -1, -1
277, 37, 180, -1, -1
278, 102, 225, -1, -1
279, 7, 270, -1, -1
280, 55, 270, -1, -1
281, 103, 270, -1, -1
282, 85, 180, -1, -1
283, 96, 315, -1, -1
284, 27, 90, -1, -1
285, 44, 135, -1, -1
286, 75, 90, -1, -1
287, 65, 0, -1, -1
288, 20, 135, -1, -1
289, 111, 270, -1, -1
290, 105, 0, -1, -1
291, 5, 180, -1, -1
292, 113, 0, -1, -1
293, 4, 135, -1, -1
294, 82, 45, -1, -1
295, 56, 315, -1, -1
296, 97, 0, -1, -1
297, 40, 315, -1, -1
298, 16, 315, -1, -1
299, 46, 225, -1, -1
300, 106, 45, -1, -1
301, 29, 180, -1, -1
302, 126, 225, -1, -1
303, 61, 180, -1, -1
304, 74, 45, -1, -1
305, 128, 315, -1, -1
306, 94, 225, -1, -1
307, 28, 135, -1, -1
308, 98, 45, -1, -1
309, 18, 45, -1, -1
310, 42, 45, -1, -1
311, 125, 180, -1, -1
312, 72, 315, -1, -1
313, 32, 315, -1, -1
314, 3, 90, -1, -1
315, 127, 270, -1, -1
316, 91, 90, -1, -1
317, 9, 0, -1, -1
318, 31, 270, -1, -1
319, 112, 315, -1, -1
320, 83, 90, -1, -1
321, 64, 315, -1, -1
322, 66, 45, -1, -1
323, 48, 315, -1, -1
324, 70, 225, -1, -1
325, 19, 90, -1, -1
326, 62, 225, -1, -1
327, 10, 45, -1, -1
328, 68, 135, -1, -1
329, 36, 135, -1, -1
330, 67, 90, -1, -1
331, 2, 45, -1, -1
332, 79, 270, -1, -1
333, 47, 270, -1, -1
334, 11, 90, -1, -1
335, 116, 135, -1, -1
336, 33, 0, -1, -1
337, 26, 45, -1, -1
338, 109, 180, -1, -1
339, 39, 270, -1, -1
340, 43, 90, -1, -1
341, 87, 270, -1, -1
342, 77, 180, -1, -1
343, 107, 90, -1, -1
344, 21, 180, -1, -1
345, 41, 0, -1, -1
346, 60, 135, -1, -1
347, 45, 180, -1, -1
348, 124, 135, -1, -1
349, 101, 180, -1, -1
350, 80, 315, -1, -1
351, 118, 225, -1, -1
352, 104, 315, -1, -1
353, 57, 0, -1, -1
354, 71, 270, -1, -1
355, 22, 225, -1, -1
356, 50, 45, -1, -1
357, 34, 45, -1, -1
358, 110, 225, -1, -1
359, 86, 225, -1, -1
360, 123, 90, -1, -1
361, 15, 270, -1, -1
362, 12, 135, -1, -1
363, 93, 180, -1, -1
364, 38, 225, -1, -1
365, 63, 270, -1, -1
366, 95, 270, -1, -1
367, 84, 135, -1, -1
368, 69, 180, -1, -1
369, 17, 0, -1, -1
370, 108, 135, -1, -1
371, 76, 135, -1, -1
372, 120, 315, -1, -1
373, 122, 45, -1, -1
374, 78, 225, -1, -1
375, 88, 315, -1, -1
376, 100, 135, -1, -1
377, 23, 270, -1, -1
378, 117, 180, -1, -1
379, 6, 225, -1, -1
380, 58, 45, -1, -1
381, 51, 90, -1, -1
382, 92, 135, -1, -1
383, 54, 225, -1, -1
384, 8, 315, -1, -1
385, 1, 0, -1, -1
386, 73, 0, -1, -1
387, 35, 90, -1, -1
388, 13, 180, -1, -1
389, 52, 135, -1, -1
390, 115, 90, -1, -1
391, 114, 45, -1, -1
392, 49, 0, -1, -1
393, 59, 90, -1, -1
394, 89, 0, -1, -1
395, 30, 225, -1, -1
396, 14, 225, -1, -1
397, 81, 0, -1, -1
398, 25, 0, -1, -1
399, 90, 45, -1, -1
400, 121, 0, -1, -1
401, 53, 180, -1, -1
402, 24, 315, -1, -1
403, 99, 90, -1, -1
404, 119, 270, -1, -1
405, 37, 180, -1, -1
406, 102, 225, -1, -1
407, 7, 270, -1, -1
408, 55, 270, -1, -1
409, 103, 270, -1, -1
410, 85, 180, -1, -1
411, 96, 315, -1, -1
412, 27, 90, -1, -1
413, 44, 135, -1, -1
414, 75, 90, -1, -1
415, 65, 0, -1, -1
416, 20, 135, -1, -1
417, 111, 270, -1, -1
418, 105, 0, -1, -1
419, 5, 180, -1, -1
420, 113, 0, -1, -1
421, 4, 135, -1, -1
422, 82, 45, -1, -1
423, 56, 315, -1, -1
424, 97, 0, -1, -1
425, 40, 315, -1, -1
426, 16, 315, -1, -1
427, 46, 225, -1, -1
428, 106, 45, -1, -1
429, 29, 180, -1, -1
430, 126, 225, -1, -1
431, 61, 180, -1, -1
432, 74, 45, -1, -1
433, 128, 315, -1, -1
434, 94, 225, -1, -1
435, 28, 135, -1, -1
436, 98, 45, -1, -1
437, 18, 45, -1, -1
438, 42, 45, -1, -1
439, 125, 180, -1, -1
440, 72, 315, -1, -1
441, 32, 315, -1, -1
442, 3, 90, -1, -1
443, 127, 270, -1, -1
444, 91, 90, -1, -1
445, 9, 0, -1, -1
446, 31, 270, -1, -1
447, 112, 315, -1, -1
448, 83, 90, -1, -1
449, 64, 315, -1, -1
450, 66, 45, -1, -1
451, 48, 315, -1, -1
452, 70, 225, -1, -1
453, 19, 90, -1, -1
454, 62, 225, -1, -1
455, 10, 45, -1, -1
456, 68, 135, -1, -1
457, 36, 135, -1, -1
458, 67, 90, -1, -1
459, 2, 45, -1, -1
460, 79, 270, -1, -1
461, 47, 270, -1, -1
462, 11, 90, -1, -1
463, 116, 135, -1, -1
464, 33, 0, -1, -1
465, 26, 45, -1, -1
466, 109, 180, -1, -1
467, 39, 270, -1, -1
468, 43, 90, -1, -1
469, 87, 270, -1, -1
470, 77, 180, -1, -1
471, 107, 90, -1, -1
472, 21, 180, -1, -1
473, 41, 0, -1, -1
474, 60, 135, -1, -1
475, 45, 180, -1, -1
476, 124, 135, -1, -1
477, 101, 180, -1, -1
478, 80, 315, -1, -1
479, 118, 225, -1, -1
480, 104, 315, -1, -1
481, 57, 0, -1, -1
482, 71, 270, -1, -1
483, 22, 225, -1, -1
484, 50, 45, -1, -1
485, 34, 45, -1, -1
486, 110, 225, -1, -1
487, 86, 225, -1, -1
488, 123, 90, -1, -1
489, 15, 270, -1, -1
490, 12, 135, -1, -1
491, 93, 180, -1, -1
492, 38, 225, -1, -1
493, 63, 270, -1, -1
494, 95, 270, -1, -1
495, 84, 135, -1, -1
496, 69, 180, -1, -1
497, 17, 0, -1, -1
498, 108, 135, -1, -1
499, 76, 135, -1, -1
500, 120, 315, -1, -1
