#n,,,,,,,
384,,,,,,,
#no,x(m),y(m),z(m),nx,ny,nz,area(m2)
99,-0.000793,0.058211,-0.000738,0,0,1,3.14E-06
100,0.004304,0.058785,-0.001173,0,0,1,3.14E-06
101,0.009062,0.058989,-0.00185,0,0,1,3.14E-06
102,-0.022015,0.059252,-0.002425,0,0,1,3.14E-06
103,0.034509,0.059359,-0.002763,0,0,1,3.14E-06
104,-0.009629,0.059767,-0.000937,0,0,1,3.14E-06
105,0.019899,0.060273,-0.003407,0,0,1,3.14E-06
106,0.026561,0.060512,-0.003869,0,0,1,3.14E-06
107,-0.004507,0.060575,-0.000592,0,0,1,3.14E-06
108,0.015633,0.061348,-0.002826,0,0,1,3.14E-06
109,-0.02581,0.061723,-0.002508,0,0,1,3.14E-06
110,-0.038934,0.061742,-0.002628,0,0,1,3.14E-06
111,-0.033539,0.062034,-0.002951,0,0,1,3.14E-06
112,-0.043162,0.062618,-0.001981,0,0,1,3.14E-06
113,-0.015761,0.062696,-0.00137,0,0,1,3.14E-06
114,0.003062,0.062924,-0.000985,0,0,1,3.14E-06
115,-0.001172,0.063284,-0.000614,0,0,1,3.14E-06
116,-0.04739,0.063508,-0.001116,0,0,1,3.14E-06
117,-0.021463,0.063513,-0.001791,0,0,1,3.14E-06
118,0.029657,0.063537,-0.003806,0,0,1,3.14E-06
119,0.008454,0.063829,-0.001732,0,0,1,3.14E-06
120,0.0346,0.063892,-0.003071,0,0,1,3.14E-06
121,-0.029307,0.064223,-0.00241,0,0,1,3.14E-06
122,0.039405,0.064962,-0.001504,0,0,1,3.14E-06
123,0.018212,0.064992,-0.003155,0,0,1,3.14E-06
124,-0.005084,0.065176,-0.000594,0,0,1,3.14E-06
125,0.013456,0.065308,-0.002483,0,0,1,3.14E-06
126,-0.010243,0.065595,-0.000813,0,0,1,3.14E-06
127,-0.036547,0.065707,-0.002144,0,0,1,3.14E-06
128,0.023428,0.065921,-0.003737,0,0,1,3.14E-06
129,0.004938,0.067142,-0.001367,0,0,1,3.14E-06
130,-0.019249,0.067268,-0.001411,0,0,1,3.14E-06
131,-0.025628,0.06756,-0.001676,0,0,1,3.14E-06
132,-0.044608,0.067594,-0.001296,0,0,1,3.14E-06
133,0.028594,0.068411,-0.003925,0,0,1,3.14E-06
134,0.034826,0.068484,-0.003257,0,0,1,3.14E-06
135,-0.039357,0.068941,-0.001354,0,0,1,3.14E-06
136,0.008557,0.069438,-0.00194,0,0,1,3.14E-06
137,-0.029759,0.069642,-0.001457,0,0,1,3.14E-06
138,-0.015086,0.069875,-0.00113,0,0,1,3.14E-06
139,-0.034495,0.070221,-0.00116,0,0,1,3.14E-06
140,-0.003688,0.070386,-0.00091,0,0,1,3.14E-06
141,0.001807,0.07044,-0.001276,0,0,1,3.14E-06
142,0.014093,0.070561,-0.002697,0,0,1,3.14E-06
143,0.024786,0.070941,-0.003906,0,0,1,3.14E-06
144,-0.007944,0.071768,-0.000939,0,0,1,3.14E-06
145,0.018729,0.072288,-0.003366,0,0,1,3.14E-06
146,-0.042487,0.072361,-0.001042,0,0,1,3.14E-06
147,0.02993,0.072765,-0.003892,0,0,1,3.14E-06
148,0.03959,0.072799,-0.001522,0,0,1,3.14E-06
149,-0.048143,0.072828,-0.000841,0,0,1,3.14E-06
150,0.034396,0.072833,-0.003271,0,0,1,3.14E-06
151,-0.022075,0.073169,-0.001269,0,0,1,3.14E-06
152,-0.017523,0.073528,-0.001238,0,0,1,3.14E-06
153,0.010082,0.073601,-0.002352,0,0,1,3.14E-06
154,-0.026325,0.073611,-0.001074,0,0,1,3.14E-06
155,-0.013283,0.074161,-0.001164,0,0,1,3.14E-06
156,0.005543,0.07454,-0.001963,0,0,1,3.14E-06
157,-0.000338,0.075061,-0.001562,0,0,1,3.14E-06
158,0.014749,0.076131,-0.002988,0,0,1,3.14E-06
159,0.025896,0.077323,-0.003954,0,0,1,3.14E-06
160,0.020122,0.077337,-0.00363,0,0,1,3.14E-06
161,0.03062,0.07741,-0.003649,0,0,1,3.14E-06
162,0.034945,0.077561,-0.002802,0,0,1,3.14E-06
163,-0.042205,0.077619,-0.00101,0,0,1,3.14E-06
164,-0.023194,0.077678,-0.001034,0,0,1,3.14E-06
165,-0.004259,0.077994,-0.001637,0,0,1,3.14E-06
166,-0.015899,0.078013,-0.00137,0,0,1,3.14E-06
167,-0.010789,0.078383,-0.001439,0,0,1,3.14E-06
168,0.007121,0.079239,-0.002381,0,0,1,3.14E-06
169,0.00171,0.079852,-0.002107,0,0,1,3.14E-06
170,-0.047725,0.080348,-0.001326,0,0,1,3.14E-06
171,0.037959,0.080864,-0.001458,0,0,1,3.14E-06
172,0.028245,0.081015,-0.003668,0,0,1,3.14E-06
173,-0.019484,0.081365,-0.001451,0,0,1,3.14E-06
174,0.022123,0.081511,-0.003725,0,0,1,3.14E-06
175,0.017619,0.081861,-0.003373,0,0,1,3.14E-06
176,-0.042045,0.081934,-0.001016,0,0,1,3.14E-06
177,0.012026,0.082362,-0.002829,0,0,1,3.14E-06
